Sample	site	collection_date	serovar	site_order	farm_no	threshold_5	threshold_10	threshold_20	threshold_50	threshold_100	threshold_200	threshold_1000	snp_dist
F04727	Chicken Parts	2019-12-17 06:00:00	Enteritidis	31	6	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04733	Conveyor	2019-11-18 18:00:00	Enteritidis	21	1	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04747	Cone Line Cones 2	2019-11-25 18:00:00	Enteritidis	20	56	Enteritidis-6	Enteritidis-4	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	186
F04756	Crate	2019-12-02 06:00:00	Enteritidis	0	34	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	198
F04758	Crate	2019-12-03 06:00:00	Enteritidis	0	26	Enteritidis-6	Enteritidis-4	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	187
F04759	Crate	2019-12-03 06:00:00	Enteritidis	0	26	Enteritidis-6	Enteritidis-4	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	187
F04761	Crate	2019-12-03 06:00:00	Enteritidis	0	26	Enteritidis-6	Enteritidis-4	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	186
F04763	Crate	2019-12-03 06:00:00	Enteritidis	0	26	Enteritidis-6	Enteritidis-4	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	187
F04764	Crate	2019-12-03 06:00:00	Enteritidis	0	26	Enteritidis-6	Enteritidis-4	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	186
F04773	Conveyor	2019-12-09 06:00:00	Enteritidis	21	4	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	181
