Sample	site	collection_date	site_order	Cluster
F04724	Chicken Parts	2019-11-12 06:00:00	31	Kentucky-17
F04725	Chicken Parts	2019-12-03 06:00:00	31	Kentucky-18
F04726	Chicken Parts	2019-12-17 18:00:00	31	Kentucky-13
F04727	Chicken Parts	2019-12-17 06:00:00	31	Enteritidis-2
F04728	Tip Cutter	2019-11-19 18:00:00	3	Kentucky-15
F04729	Wing Chute	2019-11-19 18:00:00	5	Kentucky-13
F04730	Drumette Cutter	2019-11-19 18:00:00	8	Kentucky-13
F04731	Drumette Chute	2019-11-19 18:00:00	9	Kentucky-13
F04732	Drumette Conveyor	2019-11-19 18:00:00	10	Kentucky-15
F04733	Conveyor	2019-11-18 18:00:00	21	Enteritidis-2
F04734	Rapid Green Cone	2019-11-18 18:00:00	24	Kentucky-15
F04735	"S" Shape Conveyor	2019-11-18 06:00:00	25	Kentucky-15
F04736	Cutting Board	2019-11-18 18:00:00	26	Kentucky-12
F04737	Crate	2019-11-18 18:00:00	0	Kentucky-9
F04738	"S" Shape Conveyor	2019-11-18 18:00:00	25	Kentucky-14
F04739	Crate	2019-11-18 06:00:00	0	Kentucky-15
F04740	Crate	2019-11-18 06:00:00	0	Kentucky-15
F04741	Crate	2019-11-18 06:00:00	0	Kentucky-15
F04742	Crate	2019-11-18 06:00:00	0	Kentucky-15
F04743	Crate	2019-11-18 06:00:00	0	Kentucky-15
F04744	Conveyor	2019-11-26 06:00:00	21	Kentucky-24
F04745	Dumper Conveyor	2019-11-26 18:00:00	23	Kentucky-13
F04746	Rapid Green Cone	2019-11-26 18:00:00	24	Kentucky-13
F04747	Cone Line Cones 2	2019-11-25 18:00:00	20	Enteritidis-4
F04748	Cone Line Cones 2	2019-11-25 06:00:00	20	Kentucky-15
F04749	Wing Cutter	2019-12-02 18:00:00	4	Kentucky-12
F04750	Wing Chute	2019-12-02 06:00:00	5	Kentucky-12
F04751	Wing Conveyor	2019-12-02 06:00:00	6	Kentucky-12
F04752	Drumette Chute	2019-12-02 06:00:00	9	Kentucky-12
F04753	Crate	2019-12-02 06:00:00	0	Kentucky-20
F04754	Crate	2019-12-02 06:00:00	0	Kentucky-20
F04756	Crate	2019-12-02 06:00:00	0	Enteritidis-3
F04757	Crate	2019-12-02 06:00:00	0	Kentucky-12
F04758	Crate	2019-12-03 06:00:00	0	Enteritidis-4
F04759	Crate	2019-12-03 06:00:00	0	Enteritidis-4
F04760	Crate	2019-12-03 06:00:00	0	Kentucky-14
F04761	Crate	2019-12-03 06:00:00	0	Enteritidis-4
F04762	Crate	2019-12-03 06:00:00	0	Kentucky-12
F04763	Crate	2019-12-03 06:00:00	0	Enteritidis-4
F04764	Crate	2019-12-03 06:00:00	0	Enteritidis-4
F04765	Bypass	2019-12-03 06:00:00	13	Kentucky-23
F04767	Dumper Conveyor	2019-12-09 18:00:00	23	Kentucky-21
F04768	Rapid Green Cone	2019-12-09 18:00:00	24	Kentucky-21
F04769	"S" Shape Conveyor	2019-12-09 18:00:00	25	Kentucky-21
F04770	Cutting Board	2019-12-09 18:00:00	26	Kentucky-21
F04771	Two-sided Conveyor Belts	2019-12-09 18:00:00	27	Kentucky-21
F04772	Marel (Boneless)	2019-12-09 18:00:00	30	Kentucky-21
F04773	Conveyor	2019-12-09 06:00:00	21	Enteritidis-5
F04774	Marel	2019-12-09 06:00:00	22	Enteritidis-5
F04775	"S" Shape Conveyor	2019-12-09 06:00:00	25	Kentucky-14
F04776	Crate	2019-12-09 06:00:00	0	Kentucky-13
F04777	Drumette Cutter	2019-12-10 06:00:00	8	Kentucky-17
F04778	Drumette Conveyor	2019-12-10 06:00:00	10	Kentucky-15
F04779	Crate	2019-12-10 06:00:00	0	Kentucky-11
F04780	Crate	2019-12-16 18:00:00	0	Kentucky-13
